id,price,brand,model,transmission,color,body_type,poster_type,fuel_type,location,post_age_in_days,age_of_car,mileage_in_km
CAR006117,665000,17,273,3,21,7,1,3,167,71,9,1.0
CAR006652,528000,35,359,1,17,6,1,3,305,22,1,1.0
CAR013853,595000,44,307,3,18,3,1,3,167,71,8,1.0
CAR013855,495000,44,307,3,17,3,1,3,167,71,7,1.0
CAR014563,255000,33,18,1,17,6,0,2,211,62,30,1.0
CAR014565,195000,44,179,3,21,6,0,2,252,62,30,1.0
CAR014569,250000,32,109,3,21,4,0,0,252,62,27,1.0
CAR014576,95000,44,170,1,19,6,0,2,308,100,26,1.0
CAR014579,288000,15,162,3,5,2,0,2,308,133,25,1.0
CAR014581,339000,33,429,1,21,6,0,2,308,188,25,1.0
CAR014591,295000,33,129,1,2,6,0,2,211,62,24,1.0
CAR014596,98000,44,170,3,17,6,0,2,303,170,24,1.0
CAR014600,565000,26,413,1,17,5,0,2,211,62,23,1.0
CAR014606,335000,44,408,1,17,5,0,2,211,62,23,1.0
CAR014615,1088000,33,130,1,19,6,0,2,305,79,22,1.0
CAR014633,250000,15,162,1,0,6,0,2,263,163,21,1.0
CAR014644,688000,33,429,1,2,6,0,2,327,29,20,1.0
CAR014647,345000,35,386,1,21,5,0,2,211,62,20,1.0
CAR014654,250000,11,219,1,21,5,0,2,252,62,19,1.0
CAR014656,250000,11,219,1,21,5,0,2,252,62,19,1.0
CAR014664,520000,36,503,3,21,7,0,0,308,133,8,1.0
CAR014675,450000,41,303,1,19,2,0,2,305,83,8,1.0
CAR014679,260000,15,162,3,22,6,0,2,308,133,19,1.0
CAR014683,419000,44,171,1,19,6,0,2,130,45,8,1.0
CAR014696,828000,44,232,1,10,5,0,0,105,129,8,1.0
CAR014710,595000,44,307,3,19,3,0,0,327,71,8,1.0
CAR014712,628000,44,307,3,17,3,0,0,327,71,8,1.0
CAR014723,365000,44,511,1,17,6,0,2,308,100,8,1.0
CAR014749,3000000,9,157,1,10,1,0,2,303,28,7,1.0
CAR014751,1108000,11,193,1,1,7,0,2,303,170,7,1.0
CAR014768,330000,11,226,1,2,6,0,2,252,62,7,1.0
CAR014811,465000,15,312,1,19,2,0,2,308,133,7,1.0
CAR014822,348000,17,95,3,17,6,0,2,211,31,7,1.0
CAR014839,300000,17,542,1,1,2,0,2,186,195,7,1.0
CAR014848,640000,17,499,1,4,5,0,0,308,133,7,1.0
CAR014851,628000,17,499,3,19,5,0,0,327,85,7,1.0
CAR014854,1400000,44,332,1,21,5,0,0,211,62,19,1.0
CAR014866,680000,23,150,1,17,7,0,0,211,65,7,1.0
CAR014876,1050000,44,332,1,1,5,0,2,211,62,19,1.0
CAR014877,368000,32,12,1,10,2,0,2,105,129,7,1.0
CAR014887,295000,44,419,3,2,3,0,2,211,62,19,1.0
CAR014908,735000,35,362,1,1,5,0,0,308,133,7,1.0
CAR014909,240000,44,419,3,17,3,0,2,308,133,19,1.0
